Created_at;tweets
2020-03-19 18:29:17;@13thethe @ManxMonear @WhiteHouse @realDonaldTrump Maybe we could do a trade for another prisoner in return for Pai… https://t.co/dStOma6otI
2020-03-19 18:29:17;@WhiteHouse When LIBERALS finally realize President Trump has won AGAIN! https://t.co/xjH3kcsPvC
2020-03-19 18:29:14;@SecAzar @WhiteHouse @POTUS What a bold malignant shit-funnel. #malignantshitfunnel
2020-03-19 18:29:14;@EliseViksaas @WhiteHouse Like you know what is best. Give the man a break. You sheep's wouldn't know what's good i… https://t.co/8eTreIlLYM
2020-03-19 18:29:13;@WhiteHouse Where is Fauci?
2020-03-19 18:29:09;@MrJones_tm @tedlieu @WhiteHouse Don’t worry we already have a name for this current financial disaster and mental… https://t.co/KMNKIyDlpj
2020-03-19 18:29:09;@FrommVon @tedlieu @WhiteHouse @realDonaldTrump I ate at @PandaExpress yesterday so I am not a racist
2020-03-19 18:29:09;@WhiteHouse @realDonaldTrump When you’re out of office and Biden takes over the great American economy will bounce back.
2020-03-19 18:29:08;@tedlieu @WhiteHouse China virus
2020-03-19 18:29:07;@WhiteHouse @realDonaldTrump Everything for business!!!!!
2020-03-19 18:29:07;We need the US to step up and help protect the world from #COVID19. @realDonaldTrump @WhiteHouse will you release… https://t.co/aWkHAjd2KP
2020-03-19 18:29:06;@tedlieu @WhiteHouse Do you like Chinese food?  Or is that racist?
2020-03-19 18:29:06;@WhiteHouse Trump had plenty of time to get things right but he was calling this a hoax. People where giving him co… https://t.co/5ctUiYyD8D
2020-03-19 18:29:05;@WhiteHouse @realDonaldTrump Stand 6 feet apart!  Model the behavior that will save us all.
2020-03-19 18:29:05;@WhiteHouse Sounds dangerous and desperate. #TrustDoctors
2020-03-19 18:29:02;What a bunch of racist asshats https://t.co/GRx8hUvmz8
2020-03-19 18:29:01;@RachelDonadio @SethMacFarlane @WSJ @nytimes @washingtonpost he also stated that he doesn't allow the Post or the W… https://t.co/KcDUWWblyD
2020-03-19 18:28:59;"Close up of President @realDonaldTrump notes is seen where he crossed out ""Corona"" and replaced it with ""Chinese"" V… https://t.co/epxX8VEqeh"
